Dataset,Over Sample?,Biased Initialization?,Optimization,Baseline Test Accuracy,Baseline IR,Optimized Test Accuracy,Optimized IR,Reduction Rate %,Optimized Test Acc Diff
phoneme,over_sample,rand,2Obj,0.8617320503330866,2.407313997477932,0.850259067357513,2.1930077293024715,63.5381199111769,-0.011472982975573642
pima,over_sample,rand,2Obj,0.7348958333333333,1.8656716417910448,0.721875,1.5625862362751763,75.75520833333333,-0.01302083333333326
segment0,over_sample,rand,2Obj,0.9920277296360485,6.0109977827050995,0.9870017331022531,5.475525824364834,89.93934142114385,-0.005025996533795318
sonar,over_sample,rand,2Obj,0.7519230769230769,1.1401360544217687,0.7173076923076923,1.2720454545454545,77.5,-0.0346153846153846
vehicle0,over_sample,rand,2Obj,0.9330188679245284,3.2599090909090913,0.905188679245283,2.0841005123225136,78.01418439716312,-0.02783018867924536
yeast1,over_sample,rand,2Obj,0.7498652291105121,2.456000869376223,0.753099730458221,2.268076888467187,73.97574123989219,0.0032345013477088624
australian,over_sample,rand,3Obj,0.8381502890173411,1.2490450725744844,0.8485549132947977,1.2381422963709316,61.21739130434783,0.010404624277456587
bupa,over_sample,rand,3Obj,0.613793103448276,1.3888888888888888,0.5919540229885059,2.5719875423965814,61.45348837209302,-0.02183908045977012
glass1,over_sample,rand,3Obj,0.7240740740740741,1.815789473684211,0.6759259259259258,1.2136858014943315,62.89719626168225,-0.04814814814814827
magic,over_sample,rand,3Obj,0.8312092534174553,1.8438995215311003,0.8276971608832808,1.3613433414015839,53.48475289169296,-0.0035120925341745046
phoneme,over_sample,rand,3Obj,0.8606957809030348,2.407313997477932,0.8416728349370836,1.5357620586691298,56.79126572908956,-0.01902294596595122
pima,over_sample,rand,3Obj,0.7369791666666666,1.8656716417910448,0.7390625000000001,1.1785143075926248,60.9375,0.002083333333333437
segment0,over_sample,rand,3Obj,0.9896013864818025,6.015262379896527,0.9842287694974002,2.6314081800772637,66.79376083188909,-0.005372616984402279
sonar,over_sample,rand,3Obj,0.7461538461538461,1.140136054421769,0.7326923076923076,1.7683699852778798,57.019230769230774,-0.013461538461538414
vehicle0,over_sample,rand,3Obj,0.9254716981132075,3.247090909090909,0.9033018867924529,1.6240902832050625,61.56028368794326,-0.022169811320754573
yeast1,over_sample,rand,3Obj,0.7355795148247979,2.4592262551619215,0.7237196765498652,1.4819816869372944,59.123989218328845,-0.011859838274932644
australian,over_sample,rand,MinMajAcc,0.8364161849710982,1.2446524064171123,0.8335260115606935,1.3112750895188388,51.478260869565226,-0.0028901734104046506
bupa,over_sample,rand,MinMajAcc,0.603448275862069,1.3888888888888888,0.596551724137931,1.324364094405603,53.604651162790695,-0.006896551724137945
glass1,over_sample,rand,MinMajAcc,0.7462962962962963,1.815789473684211,0.7537037037037038,1.8441360754828249,49.4392523364486,0.007407407407407418
magic,over_sample,rand,MinMajAcc,0.8323028391167192,1.8438995215311003,0.8283701366982124,1.760733415538222,49.82439537329127,-0.00393270241850685
phoneme,over_sample,rand,MinMajAcc,0.8595114729829756,2.407313997477932,0.84900074019245,2.3436164857408204,49.4559585492228,-0.010510732790525612
pima,over_sample,rand,MinMajAcc,0.7239583333333333,1.8656716417910448,0.7171875,1.7570704688393135,52.526041666666664,-0.0067708333333332815
segment0,over_sample,rand,MinMajAcc,0.9908145580589254,6.0109977827050995,0.9928942807625651,6.843127335583127,50.05199306759099,0.0020797227036397636
sonar,over_sample,rand,MinMajAcc,0.7884615384615384,1.1401360544217687,0.7519230769230769,1.1429805558837818,49.230769230769226,-0.03653846153846152
vehicle0,over_sample,rand,MinMajAcc,0.9268867924528303,3.2556363636363637,0.9150943396226415,3.0738807960210073,49.55082742316785,-0.011792452830188815
yeast1,over_sample,rand,MinMajAcc,0.7544474393530998,2.456000869376222,0.7479784366576819,2.4326197473000284,51.17250673854447,-0.006469002695417836
australian,regular_sample,bias,2Obj,0.8381502890173411,1.2461166284695695,0.8352601156069364,1.1357937327698322,79.04347826086958,-0.0028901734104047616
