Dataset,Over Sample?,Biased Initialization?,Optimization,Baseline Test Accuracy,Baseline IR,Optimized Test Accuracy,Optimized IR,Reduction Rate %,Optimized Test Acc Diff
bupa,over_sample,rand,MinMajAcc,0.603448275862069,1.38888888888889,0.933720930232558,1.58415112083976,51.92,0.330272654370489
glass1,over_sample,rand,MinMajAcc,0.746296296296296,1.81578947368421,0.949056603773585,1.73054824561404,52.62,0.202760307477289
magic,over_sample,rand,MinMajAcc,0.832302839116719,1.8438995215311,0.8732912723449,1.72559214969824,49.71,0.0409884332281809
phoneme,over_sample,rand,MinMajAcc,0.859511472982976,2.40731399747793,0.917468541820873,2.14383990497216,49.14,0.0579570688378978
pima,over_sample,rand,MinMajAcc,0.723958333333333,1.86567164179104,0.925520833333333,1.62493747373824,52.19,0.2015625
segment0,over_sample,rand,MinMajAcc,0.990814558058925,6.0109977827051,0.997573656845754,6.84312733558313,50.05,0.00675909878682868
sonar,over_sample,rand,MinMajAcc,0.788461538461538,1.14013605442177,0.990384615384615,1.18051240808955,48.08,0.201923076923077
vehicle0,over_sample,rand,MinMajAcc,0.92688679245283,3.25563636363636,0.992417061611374,3.00620789958858,50.14,0.065530269158544
yeast1,over_sample,rand,MinMajAcc,0.7544474393531,2.45600086937622,0.890835579514825,2.0867547334969,51.95,0.136388140161725
australian,regular_sample,bias,2Obj,0.838150289017341,1.24611662846957,0.940697674418605,1.13579373276983,79.04,0.102547385401264
bupa,regular_sample,bias,2Obj,0.601149425287356,1.38888888888889,0.961627906976744,1.29657885097359,70.81,0.360478481689388
glass1,regular_sample,bias,2Obj,0.768518518518519,1.81578947368421,1,1.38242424242424,78.88,0.231481481481482
magic,regular_sample,bias,2Obj,0.831840168243954,1.8438995215311,0.873943217665615,1.2291656843344,52.41,0.0421030494216614
phoneme,regular_sample,bias,2Obj,0.862916358253146,2.40731399747793,0.911769059955589,1.60068562271557,58.83,0.0488527017024426
pima,regular_sample,bias,2Obj,0.711979166666667,1.86567164179104,0.894270833333333,1.26837723199167,72.50,0.182291666666667
segment0,regular_sample,bias,2Obj,0.990814558058926,6.00673318551367,0.998613518197574,3.12127768567432,88.57,0.00779896013864811
sonar,regular_sample,bias,2Obj,0.759615384615385,1.1578231292517,1,1.11997760409525,71.06,0.240384615384615
vehicle0,regular_sample,bias,2Obj,0.928301886792453,3.25563636363636,0.990521327014218,1.79301352170228,79.34,0.0622194402217653
yeast1,regular_sample,bias,2Obj,0.746091644204852,2.45761356226907,0.880323450134771,1.60724716890544,67.64,0.134231805929919
australian,regular_sample,bias,3Obj,0.846242774566474,1.24758085052203,0.902325581395349,2.11491685861404,39.97,0.0560828068288748
bupa,regular_sample,bias,3Obj,0.577011494252874,1.38888888888889,0.838372093023256,3.32301367305616,35.41,0.261360598770382
glass1,regular_sample,bias,3Obj,0.764814814814815,1.81578947368421,0.884905660377359,1.30912492255304,40.37,0.120090845562544
magic,regular_sample,bias,3Obj,0.830073606729758,1.8438995215311,0.853964248159832,1.03995942569508,43.95,0.0238906414300736
phoneme,regular_sample,bias,3Obj,0.860843819393042,2.40731399747793,0.889563286454478,1.15889271717374,46.39,0.0287194670614362
pima,regular_sample,bias,3Obj,0.721354166666667,1.86567164179104,0.841145833333333,1.33146021794171,42.16,0.119791666666667
segment0,regular_sample,bias,3Obj,0.989254766031196,6.01952697708795,0.997573656845754,1.94054240593454,59.06,0.00831889081455839
sonar,regular_sample,bias,3Obj,0.763461538461538,1.14455782312925,0.930769230769231,2.16520103847335,32.79,0.167307692307692
vehicle0,regular_sample,bias,3Obj,0.923584905660377,3.24709090909091,0.97345971563981,1.27534685572156,49.10,0.0498748099794332
yeast1,regular_sample,bias,3Obj,0.740970350404313,2.45600086937622,0.830727762803235,1.11289228553225,45.96,0.0897574123989218
australian,regular_sample,bias,MinMajAcc,0.847976878612717,1.24904507257448,0.942441860465116,1.09987896933247,43.04,0.0944649818523997
